start_date_iso,end_date_iso,base_time_seconds,increment,status,id,name,url,game_type,start_time,end_time,game_time_class,min_membership_level,registered_user_count,is_club,is_multi_club_type,min_players,max_players,min_rating,max_rating,event_type,year
"2024-03-05T10:30:23-08:00","2024-03-05T12:30:23-08:00",120,1,"finished",3251152,"Булит 05.03","https://www.chess.com/tournament/live/arena/-0503-3251152","chess",1709663423,1709670623,"lightning",10,14,true,false,,2000,,,"arena",2024
"2024-03-04T11:00:17-08:00","2024-03-04T13:00:17-08:00",300,0,"finished",3250569,"Блиц 04.03","https://www.chess.com/tournament/live/arena/-0403-3250569","chess",1709578817,1709586017,"blitz",10,13,true,false,,2000,,,"arena",2024
"2024-03-03T10:44:57-08:00","2024-03-03T12:44:57-08:00",180,0,"finished",3250232,"960 - 03.03","https://www.chess.com/tournament/live/arena/960---0303-3250232","chess960",1709491497,1709498697,"blitz",10,9,true,false,,2000,,,"arena",2024
"2024-03-02T10:29:59-08:00","2024-03-02T11:29:59-08:00",180,0,"finished",3249721,"Блиц 02.03","https://www.chess.com/tournament/live/arena/-0203-3249721","chess",1709404199,1709407799,"blitz",10,9,true,false,,2000,,,"arena",2024
"2024-03-01T10:29:54-08:00","2024-03-01T12:29:54-08:00",180,2,"finished",3249142,"960- 01.03","https://www.chess.com/tournament/live/arena/960--0103-3249142","chess960",1709317794,1709324994,"blitz",10,15,true,false,,2000,,,"arena",2024
"2024-02-29T10:30:40-08:00","2024-02-29T12:30:40-08:00",180,2,"finished",3238586,"Блиц 29.02","https://www.chess.com/tournament/live/arena/-2902-3238586","chess",1709231440,1709238640,"blitz",10,17,true,false,,2000,,,"arena",2024
"2024-02-27T10:30:36-08:00","2024-02-27T12:30:36-08:00",120,1,"finished",3237567,"Булит 27.02","https://www.chess.com/tournament/live/arena/-2702-3237567","chess",1709058636,1709065836,"lightning",10,18,true,false,,2000,,,"arena",2024
"2024-02-26T11:00:08-08:00","2024-02-26T13:00:08-08:00",300,0,"finished",3237196,"Блиц 26.02","https://www.chess.com/tournament/live/arena/-2602-3237196","chess",1708974008,1708981208,"blitz",10,20,true,false,,2000,,,"arena",2024
"2024-02-23T10:30:13-08:00","2024-02-23T12:30:13-08:00",180,2,"finished",3235615,"960 - 23.02","https://www.chess.com/tournament/live/arena/960---2302-3235615","chess960",1708713013,1708720213,"blitz",10,18,true,false,,2000,,,"arena",2024
"2024-02-22T10:30:41-08:00","2024-02-22T12:30:41-08:00",180,2,"finished",3224992,"Блиц 22.02","https://www.chess.com/tournament/live/arena/-2202-3224992","chess",1708626641,1708633841,"blitz",10,19,true,false,,2000,,,"arena",2024
"2024-02-20T10:29:53-08:00","2024-02-20T12:29:53-08:00",120,1,"finished",3224105,"Булит 20.02","https://www.chess.com/tournament/live/arena/-2002-3224105","chess",1708453793,1708460993,"lightning",10,17,true,false,,2000,,,"arena",2024
"2024-02-20T09:00:19-08:00","2024-02-20T10:00:19-08:00",180,2,"finished",3224104,"Крейзи 20.02","https://www.chess.com/tournament/live/arena/-2002-3224104","crazyhouse",1708448419,1708452019,"blitz",10,11,true,false,,2000,,,"arena",2024
"2024-02-15T08:59:56-08:00","2024-02-15T10:59:56-08:00",180,2,"finished",3211714,"Блиц 15.02","https://www.chess.com/tournament/live/arena/-1502-3211714","chess",1708016396,1708023596,"blitz",10,23,true,false,,2000,,,"arena",2024
"2024-02-13T09:59:51-08:00","2024-02-13T11:59:51-08:00",120,1,"finished",3210680,"Булет 13.02","https://www.chess.com/tournament/live/arena/-1302-3210680","chess",1707847191,1707854391,"lightning",10,20,true,false,,2000,,,"arena",2024
"2024-02-12T11:00:18-08:00","2024-02-12T13:00:18-08:00",300,0,"finished",3210216,"Блиц 12.02 -арена","https://www.chess.com/tournament/live/arena/-1202---3210216","chess",1707764418,1707771618,"blitz",10,15,true,false,,2000,,,"arena",2024
"2024-02-03T10:00:18-08:00","2024-02-03T11:30:18-08:00",180,2,"finished",3195916,"Crazyhouse Arena","https://www.chess.com/tournament/live/arena/crazyhouse-arena-3195916","crazyhouse",1706983218,1706988618,"blitz",10,10,true,false,,2000,,,"arena",2024
"2024-01-29T09:59:45-08:00","2024-01-29T11:59:45-08:00",180,2,"finished",3183172,"Пиратска Арена","https://www.chess.com/tournament/live/arena/--3183172","chess",1706551185,1706558385,"blitz",10,19,true,false,,2000,,,"arena",2024
"2024-01-26T10:30:44-08:00","2024-01-26T12:30:44-08:00",180,0,"finished",3181860,"Блиц 26.01 - арена","https://www.chess.com/tournament/live/arena/-2601----3181860","chess",1706293844,1706301044,"blitz",10,11,true,false,,2000,,,"arena",2024
"2024-01-24T10:01:05-08:00","2024-01-24T12:01:05-08:00",300,2,"finished",3170508,"960-арена 24.01","https://www.chess.com/tournament/live/arena/960--2401-3170508","chess960",1706119265,1706126465,"blitz",10,29,true,false,,2000,,,"arena",2024
"2024-01-22T11:01:16-08:00","2024-01-22T12:31:16-08:00",120,1,"finished",3169505,"Булит 23.01 арена","https://www.chess.com/tournament/live/arena/-2301--3169505","chess",1705950076,1705955476,"lightning",10,11,true,false,,2000,,,"arena",2024
