base_time_seconds, increment, event_type, game_time_class, game_type, rank, rating, score, url, user, year
120,1,arena,lightning,chess,5,1575,16,"https://www.chess.com/tournament/live/arena/---2910-3765317",Valyo1954,2024
300,0,arena,blitz,chess,1,1586,24,"https://www.chess.com/tournament/live/arena/---2810-3764485",Valyo1954,2024
300,2,arena,blitz,chess960,4,1540,11,"https://www.chess.com/tournament/live/arena/960--3760799",Valyo1954,2024
180,2,arena,blitz,chess,3,1586,20,"https://www.chess.com/tournament/live/arena/---2410-3759881",Valyo1954,2024
300,0,arena,blitz,chess,3,1586,20,"https://www.chess.com/tournament/live/arena/---2110-3756513",Valyo1954,2024
180,2,arena,blitz,chess,4,1586,12,"https://www.chess.com/tournament/live/arena/---1710-3741841",Valyo1954,2024
600,0,swiss,standard,chess,3,1695,2,"https://www.chess.com/tournament/live/---2310-5172025",Valyo1954,2024
600,0,swiss,standard,chess,2,1695,3,"https://www.chess.com/tournament/live/--2606-4866933",Valyo1954,2024
600,0,swiss,standard,chess,5,1695,3,"https://www.chess.com/tournament/live/-0506-4815890",Valyo1954,2024
180,2,swiss,blitz,chess960,5,1540,1,"https://www.chess.com/tournament/live/960---1--4755017",Valyo1954,2024
600,2,swiss,standard,chess,11,1695,1,"https://www.chess.com/tournament/live/-1704-4716601",Valyo1954,2024
120,1,arena,lightning,chess,4,1575,13,"https://www.chess.com/tournament/live/arena/---1510-3739401",Valyo1954,2024
300,0,arena,blitz,chess,5,1586,11,"https://www.chess.com/tournament/live/arena/---1410-3738401",Valyo1954,2024
180,2,arena,blitz,chess,7,1586,5,"https://www.chess.com/tournament/live/arena/blitz-32-3734481",Valyo1954,2024
300,2,arena,blitz,chess960,3,1540,9,"https://www.chess.com/tournament/live/arena/-960---1010-3723775",Valyo1954,2024
120,1,arena,lightning,chess,4,1575,20,"https://www.chess.com/tournament/live/arena/---0810-3721133",Valyo1954,2024
300,0,arena,blitz,chess,1,1586,19,"https://www.chess.com/tournament/live/arena/---0710-3720109",Valyo1954,2024
180,2,arena,blitz,chess960,3,1540,15,"https://www.chess.com/tournament/live/arena/-960---0210-3705271",Valyo1954,2024
180,2,arena,blitz,chess,1,1586,32,"https://www.chess.com/tournament/live/arena/--0210-3704325",Valyo1954,2024
120,1,arena,lightning,chess,2,1575,33,"https://www.chess.com/tournament/live/arena/---0110-3702633",Valyo1954,2024
600,0,arena,standard,chess,13,1695,0,"https://www.chess.com/tournament/live/arena/---2609-3696521",Valyo1954,2024
180,2,arena,blitz,chess,3,1586,15,"https://www.chess.com/tournament/live/arena/---2509-3695297",Valyo1954,2024
120,1,arena,lightning,chess,5,1575,9,"https://www.chess.com/tournament/live/arena/-3694271",Valyo1954,2024
120,1,arena,lightning,chess,1,1575,29,"https://www.chess.com/tournament/live/arena/---1607-3530143",Valyo1954,2024
180,2,arena,blitz,chess,5,1586,5,"https://www.chess.com/tournament/live/arena/--1107-3515453",Valyo1954,2024
120,1,arena,lightning,chess,4,1575,16,"https://www.chess.com/tournament/live/arena/---0907-3513521",Valyo1954,2024
300,0,arena,blitz,chess,1,1586,15,"https://www.chess.com/tournament/live/arena/---0807-3512445",Valyo1954,2024
300,2,arena,blitz,chess960,10,1540,0,"https://www.chess.com/tournament/live/arena/-960-3509533",Valyo1954,2024
120,1,arena,lightning,chess,4,1575,23,"https://www.chess.com/tournament/live/arena/-0207-3496767",Valyo1954,2024
300,0,arena,blitz,chess,3,1586,19,"https://www.chess.com/tournament/live/arena/---0107-3495693",Valyo1954,2024
300,2,arena,blitz,chess960,1,1540,22,"https://www.chess.com/tournament/live/arena/-960-3492607",Valyo1954,2024
600,0,swiss,standard,chess,7,1695,2,"https://www.chess.com/tournament/live/-2003-4650177",Valyo1954,2024
300,2,swiss,blitz,chess960,6,1540,2,"https://www.chess.com/tournament/live/960-4574707",Valyo1954,2024
300,2,swiss,blitz,chess,4,1586,1,"https://www.chess.com/tournament/live/---2610-4349511",Valyo1954,2023
300,2,swiss,blitz,chess,4,1586,2,"https://www.chess.com/tournament/live/-1810-4335989",Valyo1954,2023
300,0,swiss,blitz,chess,3,1586,3,"https://www.chess.com/tournament/live/-0310--4319150",Valyo1954,2023
300,0,swiss,blitz,chess,8,1586,3,"https://www.chess.com/tournament/live/--57-4146050",Valyo1954,2023
180,2,arena,blitz,chess,1,1586,28,"https://www.chess.com/tournament/live/arena/---2706-3481849",Valyo1954,2024
120,1,arena,lightning,chess,2,1575,35,"https://www.chess.com/tournament/live/arena/-2506-3479831",Valyo1954,2024
300,0,arena,blitz,chess,6,1586,8,"https://www.chess.com/tournament/live/arena/-2406-3479083",Valyo1954,2024
600,5,arena,standard,chess960,1,1200,11,"https://www.chess.com/tournament/live/arena/-960-3476079",Valyo1954,2024
120,1,arena,lightning,chess,5,1575,20,"https://www.chess.com/tournament/live/arena/-1806-3463257",Valyo1954,2024
300,0,arena,blitz,chess,3,1586,12,"https://www.chess.com/tournament/live/arena/-1706-3462409",Valyo1954,2024
300,2,arena,blitz,chess960,5,1540,6,"https://www.chess.com/tournament/live/arena/-960-3448705",Valyo1954,2024
300,0,arena,blitz,chess,5,1586,9,"https://www.chess.com/tournament/live/arena/-1006-3447298",Valyo1954,2024
120,1,arena,lightning,chess,3,1575,27,"https://www.chess.com/tournament/live/arena/-0406-3434338",Valyo1954,2024
120,1,arena,lightning,chess,7,1575,15,"https://www.chess.com/tournament/live/arena/--2705-3420271",Valyo1954,2024
180,2,arena,blitz,chess,3,1586,22,"https://www.chess.com/tournament/live/arena/-2305-3408515",Valyo1954,2024
120,1,arena,lightning,chess,5,1575,17,"https://www.chess.com/tournament/live/arena/-2105-3407354",Valyo1954,2024
300,0,arena,blitz,chess,1,1586,19,"https://www.chess.com/tournament/live/arena/-2005-3406893",Valyo1954,2024
180,0,arena,blitz,chess960,2,1540,39,"https://www.chess.com/tournament/live/arena/---1905-3406629",Valyo1954,2024
300,2,arena,blitz,chess960,7,1540,9,"https://www.chess.com/tournament/live/arena/--960-3405652",Valyo1954,2024
120,1,swiss,lightning,chess,3,1575,2,"https://www.chess.com/tournament/live/-26-4111567",Valyo1954,2023
300,0,swiss,blitz,chess,1,1586,6,"https://www.chess.com/tournament/live/-25-4111037",Valyo1954,2023
180,0,swiss,blitz,chess,3,1586,3,"https://www.chess.com/tournament/live/-21-4089198",Valyo1954,2023
120,1,swiss,lightning,chess,1,1575,4,"https://www.chess.com/tournament/live/-17-4087058",Valyo1954,2023
180,0,swiss,blitz,chess,3,1586,4,"https://www.chess.com/tournament/live/---15-4086548",Valyo1954,2023
120,1,swiss,lightning,chess,3,1575,4,"https://www.chess.com/tournament/live/-15-4086543",Valyo1954,2023
180,0,swiss,blitz,chess,17,1586,3,"https://www.chess.com/tournament/live/swiss-3-1-4074786",Valyo1954,2023
120,1,swiss,lightning,chess,3,1575,4,"https://www.chess.com/tournament/live/-14-2-4075724",Valyo1954,2023
120,1,swiss,lightning,chess,5,1575,4,"https://www.chess.com/tournament/live/-14-4075481",Valyo1954,2023
120,1,swiss,lightning,chess,8,1575,3,"https://www.chess.com/tournament/live/-21-4075069",Valyo1954,2023
180,2,swiss,blitz,chess,8,1586,1,"https://www.chess.com/tournament/live/-1600-4062765",Valyo1954,2023
120,1,swiss,lightning,chess,3,1575,3,"https://www.chess.com/tournament/live/swiss-21-1-4061276",Valyo1954,2023
180,0,swiss,blitz,chess,3,1586,4,"https://www.chess.com/tournament/live/-4061209",Valyo1954,2023
120,1,swiss,lightning,chess,2,1575,6,"https://www.chess.com/tournament/live/-4060750",Valyo1954,2023
180,2,arena,blitz,chess,9,1586,7,"https://www.chess.com/tournament/live/arena/-1605-3395125",Valyo1954,2024
120,1,arena,lightning,chess,7,1575,20,"https://www.chess.com/tournament/live/arena/-1405-3394002",Valyo1954,2024
300,0,arena,blitz,chess,1,1586,24,"https://www.chess.com/tournament/live/arena/-1305-3393633",Valyo1954,2024
600,5,arena,standard,chess960,5,1200,7,"https://www.chess.com/tournament/live/arena/fisher-chess-3392014",Valyo1954,2024
600,5,arena,standard,chess960,9,1200,3,"https://www.chess.com/tournament/live/arena/-960-0905-3381650",Valyo1954,2024
120,1,arena,lightning,chess,1,1575,31,"https://www.chess.com/tournament/live/arena/-0705-3380790",Valyo1954,2024
300,0,arena,blitz,chess,7,1586,4,"https://www.chess.com/tournament/live/arena/-0605-3380228",Valyo1954,2024
180,2,arena,blitz,chess960,6,1540,12,"https://www.chess.com/tournament/live/arena/960-0305-3378897",Valyo1954,2024
180,2,arena,blitz,chess,3,1586,18,"https://www.chess.com/tournament/live/arena/-0205-3378213",Valyo1954,2024
180,2,arena,blitz,chess,7,1586,2,"https://www.chess.com/tournament/live/arena/--3004-3377340",Valyo1954,2024
120,1,arena,lightning,chess,8,1575,8,"https://www.chess.com/tournament/live/arena/-3004-3377225",Valyo1954,2024
300,0,arena,blitz,chess,6,1586,3,"https://www.chess.com/tournament/live/arena/-2904-3376818",Valyo1954,2024
120,1,arena,lightning,chess,7,1575,7,"https://www.chess.com/tournament/live/arena/-2804-3376410",Valyo1954,2024
60,1,arena,lightning,chess,5,1575,6,"https://www.chess.com/tournament/live/arena/-2604-3375429",Valyo1954,2024
180,2,arena,blitz,chess,5,1586,17,"https://www.chess.com/tournament/live/arena/-2504-3364839",Valyo1954,2024
300,2,arena,blitz,chess,7,1586,12,"https://www.chess.com/tournament/live/arena/-2204-3363389",Valyo1954,2024
600,5,arena,standard,chess960,9,1200,4,"https://www.chess.com/tournament/live/arena/960-rapid-3341447",Valyo1954,2024
180,2,arena,blitz,chess,5,1586,26,"https://www.chess.com/tournament/live/arena/-1804-3341362",Valyo1954,2024
120,1,arena,lightning,chess,7,1575,14,"https://www.chess.com/tournament/live/arena/-1604-3340456",Valyo1954,2024
120,1,swiss,lightning,chess,6,1575,2,"https://www.chess.com/tournament/live/-4046057",Valyo1954,2023
300,2,arena,blitz,chess,13,1586,8,"https://www.chess.com/tournament/live/arena/-1504-3340065",Valyo1954,2024
600,5,arena,standard,chess960,4,1200,16,"https://www.chess.com/tournament/live/arena/arena-960-rapid-3328380",Valyo1954,2024
180,2,arena,blitz,chess960,5,1540,6,"https://www.chess.com/tournament/live/arena/960-1004-3328024",Valyo1954,2024
120,1,arena,lightning,chess,5,1575,26,"https://www.chess.com/tournament/live/arena/--0924-3327402",Valyo1954,2024
300,0,arena,blitz,chess,1,1586,32,"https://www.chess.com/tournament/live/arena/-0804-3327099",Valyo1954,2024
180,2,arena,blitz,chess,5,1586,5,"https://www.chess.com/tournament/live/arena/-0504-3315718",Valyo1954,2024
300,0,arena,blitz,chess,5,1586,13,"https://www.chess.com/tournament/live/arena/-0104-3303830",Valyo1954,2024
180,2,arena,blitz,chess960,7,1540,9,"https://www.chess.com/tournament/live/arena/960---2903-3302274",Valyo1954,2024
180,2,arena,blitz,chess,6,1586,20,"https://www.chess.com/tournament/live/arena/-2703-3291423",Valyo1954,2024
120,1,arena,lightning,chess,5,1575,32,"https://www.chess.com/tournament/live/arena/----2603-3290908",Valyo1954,2024
300,0,arena,blitz,chess,3,1586,18,"https://www.chess.com/tournament/live/arena/-2503-3290507",Valyo1954,2024
180,2,arena,blitz,chess,3,1586,23,"https://www.chess.com/tournament/live/arena/-2103-3278722",Valyo1954,2024
120,1,arena,lightning,chess,8,1575,4,"https://www.chess.com/tournament/live/arena/--1903-3277844",Valyo1954,2024
180,2,arena,blitz,chess960,3,1540,3,"https://www.chess.com/tournament/live/arena/960--1503-3275906",Valyo1954,2024
180,2,arena,blitz,chess,6,1586,17,"https://www.chess.com/tournament/live/arena/-1403-3265313",Valyo1954,2024
120,1,arena,lightning,chess,5,1575,27,"https://www.chess.com/tournament/live/arena/-1203-3264446",Valyo1954,2024
300,0,arena,blitz,chess,6,1586,13,"https://www.chess.com/tournament/live/arena/-1103-3264040",Valyo1954,2024
180,2,arena,blitz,chess,11,1586,2,"https://www.chess.com/tournament/live/arena/-0703-3252191",Valyo1954,2024
120,1,arena,lightning,chess,6,1575,17,"https://www.chess.com/tournament/live/arena/-0503-3251152",Valyo1954,2024
300,0,arena,blitz,chess,3,1586,29,"https://www.chess.com/tournament/live/arena/-0403-3250569",Valyo1954,2024
180,0,arena,blitz,chess960,4,1540,9,"https://www.chess.com/tournament/live/arena/960---0303-3250232",Valyo1954,2024
180,0,arena,blitz,chess,2,1586,14,"https://www.chess.com/tournament/live/arena/-0203-3249721",Valyo1954,2024
180,2,arena,blitz,chess960,7,1540,11,"https://www.chess.com/tournament/live/arena/960--0103-3249142",Valyo1954,2024
180,2,arena,blitz,chess,10,1586,13,"https://www.chess.com/tournament/live/arena/-2902-3238586",Valyo1954,2024
120,1,arena,lightning,chess,6,1575,23,"https://www.chess.com/tournament/live/arena/-2702-3237567",Valyo1954,2024
300,0,arena,blitz,chess,5,1586,14,"https://www.chess.com/tournament/live/arena/-2602-3237196",Valyo1954,2024
180,2,arena,blitz,chess960,9,1540,7,"https://www.chess.com/tournament/live/arena/960---2302-3235615",Valyo1954,2024
180,2,arena,blitz,chess,14,1586,3,"https://www.chess.com/tournament/live/arena/-2202-3224992",Valyo1954,2024
120,1,arena,lightning,chess,2,1575,22,"https://www.chess.com/tournament/live/arena/-2002-3224105",Valyo1954,2024
180,2,arena,blitz,crazyhouse,6,1243,6,"https://www.chess.com/tournament/live/arena/-2002-3224104",Valyo1954,2024
180,2,arena,blitz,chess,10,1586,15,"https://www.chess.com/tournament/live/arena/-1502-3211714",Valyo1954,2024
120,1,arena,lightning,chess,8,1575,22,"https://www.chess.com/tournament/live/arena/-1302-3210680",Valyo1954,2024
300,0,arena,blitz,chess,2,1586,21,"https://www.chess.com/tournament/live/arena/-1202---3210216",Valyo1954,2024
180,2,arena,blitz,chess,10,1586,7,"https://www.chess.com/tournament/live/arena/--3183172",Valyo1954,2024
180,0,arena,blitz,chess,3,1586,28,"https://www.chess.com/tournament/live/arena/-2601----3181860",Valyo1954,2024
300,2,arena,blitz,chess960,15,1540,2,"https://www.chess.com/tournament/live/arena/960--2401-3170508",Valyo1954,2024
120,1,arena,lightning,chess,4,1575,10,"https://www.chess.com/tournament/live/arena/-2301--3169505",Valyo1954,2024
180,0,arena,blitz,chess,11,1586,14,"https://www.chess.com/tournament/live/arena/-2101--3168822",Valyo1954,2024
60,1,arena,lightning,chess,4,1575,15,"https://www.chess.com/tournament/live/arena/-1701----3156864",Valyo1954,2024
180,0,arena,blitz,chess,1,1586,45,"https://www.chess.com/tournament/live/arena/-1401--3155451",Valyo1954,2024
180,2,arena,blitz,chess,4,1586,19,"https://www.chess.com/tournament/live/arena/-1301--3154919",Valyo1954,2024
180,2,arena,blitz,chess,3,1586,22,"https://www.chess.com/tournament/live/arena/blitz-32-3142625",Valyo1954,2024
120,1,arena,lightning,chess,10,1575,2,"https://www.chess.com/tournament/live/arena/arena-21-3131046",Valyo1954,2024
300,2,arena,blitz,chess960,4,1540,13,"https://www.chess.com/tournament/live/arena/arena-960-blitz-52-3130668",Valyo1954,2024
180,2,arena,blitz,chess,8,1586,5,"https://www.chess.com/tournament/live/arena/blitz-arena--3128627",Valyo1954,2023
180,0,arena,blitz,chess,6,1586,10,"https://www.chess.com/tournament/live/arena/-2112--3126282",Valyo1954,2023
120,1,arena,lightning,chess,5,1575,15,"https://www.chess.com/tournament/live/arena/-1912--3125611",Valyo1954,2023
120,1,arena,lightning,chess,5,1575,30,"https://www.chess.com/tournament/live/arena/arena-bullet-21-3093827",Valyo1954,2023
300,2,arena,blitz,chess960,17,1540,1,"https://www.chess.com/tournament/live/arena/arena-960-blitz-52-3093040",Valyo1954,2023
600,2,arena,standard,chess,7,1695,0,"https://www.chess.com/tournament/live/arena/arena-102-3058444",Valyo1954,2023
600,0,arena,standard,chess,5,1695,7,"https://www.chess.com/tournament/live/arena/rapid-arena-100-3058049",Valyo1954,2023
180,0,arena,blitz,chess,6,1586,17,"https://www.chess.com/tournament/live/arena/-2811--3057714",Valyo1954,2023
120,1,arena,lightning,chess,8,1575,10,"https://www.chess.com/tournament/live/arena/arena-21-3057307",Valyo1954,2023
180,2,arena,blitz,chess960,8,1540,4,"https://www.chess.com/tournament/live/arena/960-arena-32-3056191",Valyo1954,2023
180,0,arena,blitz,chess,5,1586,15,"https://www.chess.com/tournament/live/arena/--2111--3045208",Valyo1954,2023
180,2,arena,blitz,chess,2,1586,19,"https://www.chess.com/tournament/live/arena/arena-blitz-3032843",Valyo1954,2023
120,1,arena,lightning,chess,5,1575,16,"https://www.chess.com/tournament/live/arena/--1011-3031083",Valyo1954,2023
180,2,arena,blitz,chess,6,1586,22,"https://www.chess.com/tournament/live/arena/blitz-32-3020311",Valyo1954,2023
180,0,arena,blitz,chess,4,1586,15,"https://www.chess.com/tournament/live/arena/---0711-3020052",Valyo1954,2023
180,2,arena,blitz,chess,14,1586,4,"https://www.chess.com/tournament/live/arena/-0611-3019707",Valyo1954,2023
120,1,arena,lightning,chess,4,1575,22,"https://www.chess.com/tournament/live/arena/bullet-arena-3018509",Valyo1954,2023
180,2,arena,blitz,chess,2,1586,37,"https://www.chess.com/tournament/live/arena/blitz-arena-3008061",Valyo1954,2023
300,0,arena,blitz,chess,1,1586,21,"https://www.chess.com/tournament/live/arena/---3010-3007023",Valyo1954,2023
120,1,arena,lightning,chess,2,1575,47,"https://www.chess.com/tournament/live/arena/-2910-3006620",Valyo1954,2023
180,2,arena,blitz,chess,5,1586,13,"https://www.chess.com/tournament/live/arena/-32-3005768",Valyo1954,2023
60,1,arena,lightning,chess,4,1575,43,"https://www.chess.com/tournament/live/arena/---2410--2994685",Valyo1954,2023
180,2,arena,blitz,chess960,7,1540,14,"https://www.chess.com/tournament/live/arena/960-arena-2994298",Valyo1954,2023
180,2,arena,blitz,chess960,3,1540,16,"https://www.chess.com/tournament/live/arena/960---1910----2982776",Valyo1954,2023
120,1,arena,lightning,chess,5,1575,18,"https://www.chess.com/tournament/live/arena/arena-bullet-2982066",Valyo1954,2023
180,2,arena,blitz,chess960,7,1540,16,"https://www.chess.com/tournament/live/arena/arena-960-2981333",Valyo1954,2023
600,0,arena,standard,chess,6,1695,10,"https://www.chess.com/tournament/live/arena/rapid-arena-2970218",Valyo1954,2023
60,0,arena,lightning,chess,7,1575,13,"https://www.chess.com/tournament/live/arena/arena-bullet-2969953",Valyo1954,2023
180,2,arena,blitz,chess960,5,1540,19,"https://www.chess.com/tournament/live/arena/arena-960-2969553",Valyo1954,2023
60,1,arena,lightning,chess,4,1575,30,"https://www.chess.com/tournament/live/arena/--0910----2969189",Valyo1954,2023
180,0,arena,blitz,chess,10,1586,23,"https://www.chess.com/tournament/live/arena/-0810----2968795",Valyo1954,2023
180,0,arena,blitz,chess,6,1586,17,"https://www.chess.com/tournament/live/arena/---0510--2967734",Valyo1954,2023
120,1,arena,lightning,chess,4,1575,26,"https://www.chess.com/tournament/live/arena/---0210-2966495",Valyo1954,2023
180,2,arena,blitz,chess,6,1586,22,"https://www.chess.com/tournament/live/arena/arena-blitz-32-2955021",Valyo1954,2023
180,2,arena,blitz,chess960,6,1540,13,"https://www.chess.com/tournament/live/arena/arena-960-2953925",Valyo1954,2023
180,2,arena,blitz,chess,3,1586,30,"https://www.chess.com/tournament/live/arena/arena-blitz-32-2942444",Valyo1954,2023
60,1,arena,lightning,chess,7,1575,13,"https://www.chess.com/tournament/live/arena/bullet-11-2940308",Valyo1954,2023
120,1,arena,lightning,chess,5,1575,7,"https://www.chess.com/tournament/live/arena/--149-2929963",Valyo1954,2023
180,2,arena,blitz,chess,7,1586,15,"https://www.chess.com/tournament/live/arena/arena-blitz-2929572",Valyo1954,2023
180,2,arena,blitz,chess960,6,1540,14,"https://www.chess.com/tournament/live/arena/arena-960-2928384",Valyo1954,2023
180,2,arena,blitz,chess,9,1586,0,"https://www.chess.com/tournament/live/arena/960-arena--2928099",Valyo1954,2023
60,1,arena,lightning,chess,7,1575,29,"https://www.chess.com/tournament/live/arena/arena-11-2927784",Valyo1954,2023
60,0,arena,lightning,chess,2,1575,23,"https://www.chess.com/tournament/live/arena/-318-2904928",Valyo1954,2023
180,0,arena,blitz,chess,16,1586,8,"https://www.chess.com/tournament/live/arena/-288--2903830",Valyo1954,2023
180,2,arena,blitz,chess,12,1586,2,"https://www.chess.com/tournament/live/arena/-258-1600-2902798",Valyo1954,2023
600,5,arena,standard,chess,2,1695,21,"https://www.chess.com/tournament/live/arena/arena-rapid-105-2892084",Valyo1954,2023
180,0,arena,blitz,chess,5,1586,21,"https://www.chess.com/tournament/live/arena/arena-blitz-30-2891836",Valyo1954,2023
180,2,arena,blitz,chess960,5,1540,20,"https://www.chess.com/tournament/live/arena/arena-960-blitz-32-2891509",Valyo1954,2023
120,1,arena,lightning,chess,7,1575,20,"https://www.chess.com/tournament/live/arena/-208-2891156",Valyo1954,2023
300,2,arena,blitz,chess,13,1586,0,"https://www.chess.com/tournament/live/arena/blitz-arena-1808-2890415",Valyo1954,2023
180,2,arena,blitz,chess,2,1586,28,"https://www.chess.com/tournament/live/arena/arena-summer-1608-2879694",Valyo1954,2023
60,0,arena,lightning,chess,16,1575,11,"https://www.chess.com/tournament/live/arena/-138--2878578",Valyo1954,2023
300,0,arena,blitz,chess,3,1586,11,"https://www.chess.com/tournament/live/arena/-128--2878284",Valyo1954,2023
120,1,arena,lightning,chess,4,1575,24,"https://www.chess.com/tournament/live/arena/-78--2866460",Valyo1954,2023
