 event_type,(All),,
 game_time_class,(All),,
 game_type,(All),,
 year,2024,,
,,,
_____,____ _______,,_________  %
Viktor_Dimov,1,1,1%
Stefani06,1,1,1%
EmilN88,1,1,1%
steffanovo,1,1,1%
Volodya,1,1,1%
alfabg,1,1,1%
Xadec,1,1,1%
Jpratz19,1,1,1%
evlogikostadinov,1,1,1%
Kalaton,1,1,1%
zabelezhkov,1,1,1%
6578f,1,1,1%
Maistora91,1,1,1%
ivan_nik8,1,1,1%
MehmedSyumer,1,1,1%
Grand Total,2118,,
